CAPA_ID,Dev_ID,Batch_ID,Product,Production_Line,CAPA_Open_Date,Month_Year,CAPA_Type,Corrective_Action,Preventive_Action,Responsible_Person,Target_Closure_Date,Actual_Closure_Date,TAT_Days,Target_TAT_Days,On_Time,Effectiveness,Verified_By,Status
CAPA-0080,DEV-0089,BCH-2022-0101,Banana Chips,Line E,2022-06-13 00:00:00,Jun-2022,Supplier Development Action,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2022-06-27 00:00:00,2022-06-27 00:00:00,14,14,Yes,Pending Verification,Anand M.,Open
CAPA-0081,DEV-0090,BCH-2022-0244,Chickpea Snacks,Line D,2023-02-05 00:00:00,Feb-2023,Immediate Corrective Action,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2023-03-07 00:00:00,2023-03-14 00:00:00,37,30,No,Effective,Sagar A.,Closed
CAPA-0082,DEV-0091,BCH-2023-0809,Jackfruit Chips,Line E,2025-09-02 00:00:00,Aug-2025,Root Cause Elimination,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2025-09-16 00:00:00,2025-09-14 00:00:00,12,14,Yes,Effective,Divya N.,Closed
CAPA-0083,DEV-0092,BCH-2023-0630,Sweet Potato Chips,Line F,2024-10-24 00:00:00,Oct-2024,Preventive Action,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2024-11-07 00:00:00,2024-11-17 00:00:00,24,14,No,Effective,Karthik V.,Closed
CAPA-0084,DEV-0093,BCH-2024-1247,Masala Peanuts,Line E,2027-09-19 00:00:00,Sep-2027,Process Improvement,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2027-10-03 00:00:00,2027-09-30 00:00:00,11,14,Yes,Partially Effective,Meena R.,Closed
CAPA-0085,DEV-0094,BCH-2022-0133,Banana Chips,Line A,2022-08-07 00:00:00,Aug-2022,Supplier Development Action,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2022-09-06 00:00:00,2022-09-08 00:00:00,32,30,No,Pending Verification,Suresh B.,Open
CAPA-0086,DEV-0095,BCH-2023-0421,Banana Chips,Line A,2023-11-10 00:00:00,Nov-2023,Immediate Corrective Action,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2023-11-24 00:00:00,2023-11-25 00:00:00,15,14,No,Effective,Ramesh K.,Closed
CAPA-0087,DEV-0096,BCH-2023-0790,Sweet Potato Chips,Line D,2025-07-27 00:00:00,Jul-2025,Root Cause Elimination,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2025-08-03 00:00:00,2025-08-07 00:00:00,11,7,No,Effective,Priya S.,Closed
CAPA-0088,DEV-0097,BCH-2023-0439,Masala Peanuts,Line A,2023-12-11 00:00:00,Dec-2023,Preventive Action,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2023-12-25 00:00:00,2024-01-05 00:00:00,25,14,No,Effective,Anand M.,Closed
CAPA-0089,DEV-0098,BCH-2023-0565,Banana Chips,Line A,2024-06-19 00:00:00,Jun-2024,Process Improvement,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2024-07-03 00:00:00,2024-07-09 00:00:00,20,14,No,Partially Effective,Sagar A.,Closed
CAPA-0090,DEV-0099,BCH-2024-1119,Masala Peanuts,Line C,2027-02-06 00:00:00,Feb-2027,Supplier Development Action,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2027-02-20 00:00:00,2027-02-26 00:00:00,20,14,No,Pending Verification,Divya N.,Open
CAPA-0091,DEV-0100,BCH-2023-0834,Okra Chips,Line F,2025-10-12 00:00:00,Oct-2025,Immediate Corrective Action,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2025-11-11 00:00:00,2025-11-15 00:00:00,34,30,No,Effective,Karthik V.,Closed
CAPA-0092,DEV-0101,BCH-2023-0591,Masala Peanuts,Line C,2024-08-12 00:00:00,Aug-2024,Root Cause Elimination,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2024-08-26 00:00:00,2024-08-23 00:00:00,11,14,Yes,Effective,Meena R.,Closed
CAPA-0093,DEV-0102,BCH-2023-0811,Roasted Corn,Line A,2025-09-04 00:00:00,Sep-2025,Preventive Action,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2025-09-18 00:00:00,2025-09-25 00:00:00,21,14,No,Effective,Suresh B.,Closed
CAPA-0094,DEV-0103,BCH-2022-0221,Banana Chips,Line E,2022-12-28 00:00:00,Dec-2022,Process Improvement,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2023-01-11 00:00:00,2023-01-09 00:00:00,12,14,Yes,Partially Effective,Ramesh K.,Closed
CAPA-0095,DEV-0104,BCH-2024-1137,Jackfruit Chips,Line C,2027-03-06 00:00:00,Mar-2027,Supplier Development Action,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2027-03-20 00:00:00,2027-03-16 00:00:00,10,14,Yes,Pending Verification,Priya S.,Open
CAPA-0096,DEV-0105,BCH-2024-1182,Sweet Potato Chips,Line F,2027-05-21 00:00:00,May-2027,Immediate Corrective Action,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2027-06-04 00:00:00,2027-06-01 00:00:00,11,14,Yes,Effective,Anand M.,Closed
CAPA-0097,DEV-0106,BCH-2024-1024,Tapioca Crisps,Line D,2026-08-16 00:00:00,Aug-2026,Root Cause Elimination,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2026-08-30 00:00:00,2026-08-28 00:00:00,12,14,Yes,Effective,Sagar A.,Closed
CAPA-0098,DEV-0107,BCH-2022-0384,Tapioca Crisps,Line F,2023-09-15 00:00:00,Sep-2023,Preventive Action,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2023-10-15 00:00:00,2023-10-21 00:00:00,36,30,No,Effective,Divya N.,Closed
CAPA-0099,DEV-0108,BCH-2024-0935,Masala Peanuts,Line E,2026-03-20 00:00:00,Mar-2026,Process Improvement,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2026-04-03 00:00:00,2026-04-06 00:00:00,17,14,No,Partially Effective,Karthik V.,Closed
CAPA-0100,DEV-0109,BCH-2024-1154,Okra Chips,Line B,2027-04-05 00:00:00,Apr-2027,Supplier Development Action,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2027-04-19 00:00:00,2027-04-20 00:00:00,15,14,No,Pending Verification,Meena R.,Open
CAPA-0101,DEV-0110,BCH-2024-1225,Jackfruit Chips,Line A,2027-07-30 00:00:00,Jul-2027,Immediate Corrective Action,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2027-08-29 00:00:00,2027-09-02 00:00:00,34,30,No,Effective,Suresh B.,Closed
CAPA-0102,DEV-0111,BCH-2023-0556,Chickpea Snacks,Line D,2024-06-04 00:00:00,Jun-2024,Root Cause Elimination,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2024-06-18 00:00:00,2024-06-14 00:00:00,10,14,Yes,Effective,Ramesh K.,Closed
CAPA-0103,DEV-0112,BCH-2023-0589,Banana Chips,Line A,2024-08-08 00:00:00,Aug-2024,Preventive Action,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2024-08-22 00:00:00,2024-08-19 00:00:00,11,14,Yes,Effective,Priya S.,Closed
CAPA-0104,DEV-0113,BCH-2022-0261,Banana Chips,Line C,2023-03-07 00:00:00,Mar-2023,Process Improvement,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2023-03-21 00:00:00,2023-03-24 00:00:00,17,14,No,Partially Effective,Anand M.,Closed
CAPA-0105,DEV-0114,BCH-2023-0649,Jackfruit Chips,Line A,2024-11-22 00:00:00,Nov-2024,Supplier Development Action,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2024-11-29 00:00:00,2024-12-06 00:00:00,14,7,No,Pending Verification,Sagar A.,Open
CAPA-0106,DEV-0115,BCH-2023-0750,Sweet Potato Chips,Line F,2025-05-18 00:00:00,May-2025,Immediate Corrective Action,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2025-06-17 00:00:00,2025-06-14 00:00:00,27,30,Yes,Effective,Divya N.,Closed
CAPA-0107,DEV-0116,BCH-2024-1184,Tapioca Crisps,Line B,2027-05-25 00:00:00,May-2027,Root Cause Elimination,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2027-06-08 00:00:00,2027-06-09 00:00:00,15,14,No,Effective,Karthik V.,Closed
CAPA-0108,DEV-0117,BCH-2022-0372,Chickpea Snacks,Line F,2023-08-24 00:00:00,Aug-2023,Preventive Action,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2023-08-31 00:00:00,2023-09-02 00:00:00,9,7,No,Effective,Meena R.,Closed
CAPA-0109,DEV-0118,BCH-2022-0064,Tapioca Crisps,Line D,2022-04-24 00:00:00,Apr-2022,Process Improvement,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2022-05-08 00:00:00,2022-05-04 00:00:00,10,14,Yes,Partially Effective,Suresh B.,Closed
CAPA-0110,DEV-0120,BCH-2024-1224,Tapioca Crisps,Line F,2027-07-28 00:00:00,Jul-2027,Supplier Development Action,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2027-08-11 00:00:00,2027-08-11 00:00:00,14,14,Yes,Pending Verification,Ramesh K.,Open
CAPA-0111,DEV-0123,BCH-2023-0678,Sweet Potato Chips,Line F,2025-01-25 00:00:00,Jan-2025,Immediate Corrective Action,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2025-02-08 00:00:00,2025-02-13 00:00:00,19,14,No,Effective,Priya S.,Closed
CAPA-0112,DEV-0124,BCH-2022-0328,Tapioca Crisps,Line D,2023-06-27 00:00:00,Jun-2023,Root Cause Elimination,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2023-07-04 00:00:00,2023-07-13 00:00:00,16,7,No,Effective,Anand M.,Closed
CAPA-0113,DEV-0125,BCH-2024-1047,Masala Peanuts,Line C,2026-09-22 00:00:00,Sep-2026,Preventive Action,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2026-10-06 00:00:00,2026-10-09 00:00:00,17,14,No,Effective,Sagar A.,Closed
CAPA-0114,DEV-0127,BCH-2024-1177,Jackfruit Chips,Line A,2027-05-14 00:00:00,May-2027,Process Improvement,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2027-06-13 00:00:00,2027-06-17 00:00:00,34,30,No,Partially Effective,Divya N.,Closed
CAPA-0115,DEV-0128,BCH-2022-0409,Jackfruit Chips,Line A,2023-10-21 00:00:00,Oct-2023,Supplier Development Action,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2023-11-04 00:00:00,2023-11-08 00:00:00,18,14,No,Pending Verification,Karthik V.,Open
CAPA-0116,DEV-0129,BCH-2023-0460,Chickpea Snacks,Line D,2024-01-11 00:00:00,Jan-2024,Immediate Corrective Action,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2024-01-25 00:00:00,2024-01-22 00:00:00,11,14,Yes,Effective,Meena R.,Closed
CAPA-0117,DEV-0131,BCH-2022-0272,Tapioca Crisps,Line B,2023-03-25 00:00:00,Mar-2023,Root Cause Elimination,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2023-04-08 00:00:00,2023-04-03 00:00:00,9,14,Yes,Effective,Suresh B.,Closed
CAPA-0118,DEV-0132,BCH-2023-0600,Tapioca Crisps,Line F,2024-09-03 00:00:00,Sep-2024,Preventive Action,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2024-09-17 00:00:00,2024-09-15 00:00:00,12,14,Yes,Effective,Ramesh K.,Closed
CAPA-0119,DEV-0133,BCH-2022-0123,Roasted Corn,Line C,2022-07-17 00:00:00,Jul-2022,Process Improvement,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2022-07-31 00:00:00,2022-08-06 00:00:00,20,14,No,Partially Effective,Priya S.,Closed
CAPA-0120,DEV-0134,BCH-2024-0861,Banana Chips,Line C,2025-11-26 00:00:00,Nov-2025,Supplier Development Action,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2025-12-03 00:00:00,2025-12-05 00:00:00,9,7,No,Pending Verification,Anand M.,Open
CAPA-0121,DEV-0135,BCH-2022-0318,Sweet Potato Chips,Line F,2023-06-12 00:00:00,Jun-2023,Immediate Corrective Action,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2023-06-19 00:00:00,2023-06-22 00:00:00,10,7,No,Effective,Sagar A.,Closed
CAPA-0122,DEV-0136,BCH-2024-1165,Banana Chips,Line A,2027-04-28 00:00:00,Apr-2027,Root Cause Elimination,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2027-05-12 00:00:00,2027-05-09 00:00:00,11,14,Yes,Effective,Divya N.,Closed
CAPA-0123,DEV-0137,BCH-2023-0622,Sweet Potato Chips,Line D,2024-10-12 00:00:00,Oct-2024,Preventive Action,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2024-11-11 00:00:00,2024-11-20 00:00:00,39,30,No,Effective,Karthik V.,Closed
CAPA-0124,DEV-0138,BCH-2024-1095,Masala Peanuts,Line C,2026-12-25 00:00:00,Dec-2026,Process Improvement,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2027-01-24 00:00:00,2027-01-23 00:00:00,29,30,Yes,Partially Effective,Meena R.,Closed
CAPA-0125,DEV-0139,BCH-2022-0163,Roasted Corn,Line A,2022-09-18 00:00:00,Sep-2022,Supplier Development Action,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2022-10-02 00:00:00,2022-10-01 00:00:00,13,14,Yes,Pending Verification,Suresh B.,Open
CAPA-0126,DEV-0140,BCH-2024-1014,Sweet Potato Chips,Line F,2026-07-21 00:00:00,Jul-2026,Immediate Corrective Action,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2026-08-04 00:00:00,2026-08-10 00:00:00,20,14,No,Effective,Ramesh K.,Closed
CAPA-0127,DEV-0141,BCH-2022-0213,Banana Chips,Line C,2022-12-20 00:00:00,Dec-2022,Root Cause Elimination,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2022-12-27 00:00:00,2022-12-24 00:00:00,4,7,Yes,Effective,Priya S.,Closed
CAPA-0128,DEV-0142,BCH-2022-0016,Tapioca Crisps,Line D,2022-01-31 00:00:00,Jan-2022,Preventive Action,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2022-02-07 00:00:00,2022-02-04 00:00:00,4,7,Yes,Effective,Anand M.,Closed
CAPA-0129,DEV-0143,BCH-2023-0772,Chickpea Snacks,Line D,2025-06-21 00:00:00,Jun-2025,Process Improvement,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2025-07-05 00:00:00,2025-07-11 00:00:00,20,14,No,Partially Effective,Sagar A.,Closed
CAPA-0130,DEV-0144,BCH-2024-1105,Jackfruit Chips,Line A,2027-01-15 00:00:00,Jan-2027,Supplier Development Action,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2027-01-22 00:00:00,2027-01-22 00:00:00,7,7,Yes,Pending Verification,Divya N.,Open
CAPA-0131,DEV-0145,BCH-2022-0222,Sweet Potato Chips,Line F,2022-12-29 00:00:00,Dec-2022,Immediate Corrective Action,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2023-01-12 00:00:00,2023-01-11 00:00:00,13,14,Yes,Effective,Karthik V.,Closed
CAPA-0132,DEV-0146,BCH-2024-1059,Roasted Corn,Line C,2026-10-16 00:00:00,Oct-2026,Root Cause Elimination,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2026-10-30 00:00:00,2026-10-28 00:00:00,12,14,Yes,Effective,Meena R.,Closed
CAPA-0133,DEV-0147,BCH-2022-0368,Tapioca Crisps,Line B,2023-08-20 00:00:00,Aug-2023,Preventive Action,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2023-08-27 00:00:00,2023-08-28 00:00:00,8,7,No,Effective,Suresh B.,Closed
CAPA-0134,DEV-0148,BCH-2022-0015,Masala Peanuts,Line C,2022-01-30 00:00:00,Jan-2022,Process Improvement,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2022-02-13 00:00:00,2022-02-08 00:00:00,9,14,Yes,Partially Effective,Ramesh K.,Closed
CAPA-0135,DEV-0149,BCH-2023-0508,Chickpea Snacks,Line D,2024-03-25 00:00:00,Mar-2024,Supplier Development Action,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2024-04-08 00:00:00,2024-04-03 00:00:00,9,14,Yes,Pending Verification,Priya S.,Open
CAPA-0136,DEV-0150,BCH-2024-1000,Tapioca Crisps,Line D,2026-07-01 00:00:00,Jun-2026,Immediate Corrective Action,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2026-07-15 00:00:00,2026-07-10 00:00:00,9,14,Yes,Effective,Anand M.,Closed
CAPA-0137,DEV-0151,BCH-2022-0332,Chickpea Snacks,Line B,2023-07-02 00:00:00,Jun-2023,Root Cause Elimination,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2023-08-01 00:00:00,2023-08-01 00:00:00,30,30,Yes,Effective,Sagar A.,Closed
CAPA-0138,DEV-0152,BCH-2023-0551,Masala Peanuts,Line E,2024-05-28 00:00:00,May-2024,Preventive Action,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2024-06-11 00:00:00,2024-06-14 00:00:00,17,14,No,Effective,Divya N.,Closed
CAPA-0139,DEV-0153,BCH-2023-0839,Masala Peanuts,Line E,2025-10-20 00:00:00,Oct-2025,Process Improvement,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2025-11-03 00:00:00,2025-10-31 00:00:00,11,14,Yes,Partially Effective,Karthik V.,Closed
CAPA-0140,DEV-0154,BCH-2024-1046,Sweet Potato Chips,Line B,2026-09-21 00:00:00,Sep-2026,Supplier Development Action,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2026-10-05 00:00:00,2026-10-11 00:00:00,20,14,No,Pending Verification,Meena R.,Open
CAPA-0141,DEV-0155,BCH-2024-1222,Sweet Potato Chips,Line D,2027-07-26 00:00:00,Jul-2027,Immediate Corrective Action,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2027-08-09 00:00:00,2027-08-17 00:00:00,22,14,No,Effective,Suresh B.,Closed
CAPA-0142,DEV-0156,BCH-2023-0673,Jackfruit Chips,Line A,2025-01-15 00:00:00,Jan-2025,Root Cause Elimination,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2025-01-29 00:00:00,2025-01-30 00:00:00,15,14,No,Effective,Ramesh K.,Closed
CAPA-0143,DEV-0157,BCH-2022-0325,Banana Chips,Line A,2023-06-22 00:00:00,Jun-2023,Preventive Action,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2023-06-29 00:00:00,2023-06-26 00:00:00,4,7,Yes,Effective,Priya S.,Closed
CAPA-0144,DEV-0158,BCH-2023-0520,Tapioca Crisps,Line D,2024-04-18 00:00:00,Apr-2024,Process Improvement,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2024-05-18 00:00:00,2024-05-13 00:00:00,25,30,Yes,Partially Effective,Anand M.,Closed
CAPA-0145,DEV-0159,BCH-2023-0714,Okra Chips,Line F,2025-03-25 00:00:00,Mar-2025,Supplier Development Action,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2025-04-08 00:00:00,2025-04-10 00:00:00,16,14,No,Pending Verification,Sagar A.,Open
CAPA-0146,DEV-0160,BCH-2024-1038,Sweet Potato Chips,Line F,2026-09-11 00:00:00,Sep-2026,Immediate Corrective Action,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2026-09-25 00:00:00,2026-09-22 00:00:00,11,14,Yes,Effective,Divya N.,Closed
CAPA-0147,DEV-0161,BCH-2024-0989,Banana Chips,Line E,2026-06-11 00:00:00,Jun-2026,Root Cause Elimination,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2026-06-18 00:00:00,2026-06-25 00:00:00,14,7,No,Effective,Karthik V.,Closed
CAPA-0148,DEV-0162,BCH-2024-1102,Sweet Potato Chips,Line D,2027-01-08 00:00:00,Jan-2027,Preventive Action,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2027-01-22 00:00:00,2027-01-28 00:00:00,20,14,No,Effective,Meena R.,Closed
CAPA-0149,DEV-0163,BCH-2022-0228,Chickpea Snacks,Line F,2023-01-16 00:00:00,Jan-2023,Process Improvement,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2023-02-15 00:00:00,2023-02-20 00:00:00,35,30,No,Partially Effective,Suresh B.,Closed
CAPA-0150,DEV-0164,BCH-2023-0700,Chickpea Snacks,Line D,2025-02-21 00:00:00,Feb-2025,Supplier Development Action,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2025-03-23 00:00:00,2025-03-26 00:00:00,33,30,No,Pending Verification,Ramesh K.,Open
CAPA-0151,DEV-0166,BCH-2023-0512,Tapioca Crisps,Line B,2024-04-06 00:00:00,Apr-2024,Immediate Corrective Action,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2024-05-06 00:00:00,2024-05-06 00:00:00,30,30,Yes,Effective,Priya S.,Closed
CAPA-0152,DEV-0167,BCH-2024-0847,Masala Peanuts,Line A,2025-11-04 00:00:00,Nov-2025,Root Cause Elimination,PM schedule updated; overdue maintenance completed within 24 hours,Equipment replaced with newer model; IQ/OQ/PQ validation completed,Suresh B.,2025-11-18 00:00:00,2025-11-14 00:00:00,10,14,Yes,Effective,Anand M.,Closed
CAPA-0153,DEV-0168,BCH-2022-0181,Banana Chips,Line A,2022-10-22 00:00:00,Oct-2022,Preventive Action,Batch placed on hold; re-test on retained sample; released after confirmation,Supplier qualification review; monthly CoA audit added to incoming QC protocol,Ramesh K.,2022-10-29 00:00:00,2022-11-02 00:00:00,11,7,No,Effective,Sagar A.,Closed
CAPA-0154,DEV-0169,BCH-2024-1228,Chickpea Snacks,Line D,2027-08-03 00:00:00,Aug-2027,Process Improvement,Equipment recalibrated; verification run conducted before resuming production,Preventive maintenance frequency increased from semi-annual to quarterly,Priya S.,2027-08-10 00:00:00,2027-08-11 00:00:00,8,7,No,Partially Effective,Divya N.,Closed
CAPA-0155,DEV-0170,BCH-2024-1081,Jackfruit Chips,Line A,2026-11-30 00:00:00,Nov-2026,Supplier Development Action,Analyst retrained on SOP; competency assessment passed,SOP revised with mandatory double-check; training matrix updated for all QC staff,Anand M.,2026-12-14 00:00:00,2026-12-17 00:00:00,17,14,No,Pending Verification,Karthik V.,Open
CAPA-0156,DEV-0171,BCH-2024-1097,Jackfruit Chips,Line E,2026-12-27 00:00:00,Dec-2026,Immediate Corrective Action,Process parameter adjusted; 3 consecutive conforming batches verified,SPC chart implemented for this parameter; daily trending review added,Sagar A.,2027-01-26 00:00:00,2027-01-28 00:00:00,32,30,No,Effective,Meena R.,Closed
CAPA-0157,DEV-0172,BCH-2024-0887,Masala Peanuts,Line E,2026-01-03 00:00:00,Jan-2026,Root Cause Elimination,Supplier notified; incoming lot quarantined; alternative lot sourced,Enhanced environmental monitoring — daily swabs for 30 days post-event,Divya N.,2026-02-02 00:00:00,2026-02-06 00:00:00,34,30,No,Effective,Suresh B.,Closed
CAPA-0158,DEV-0173,BCH-2023-0818,Okra Chips,Line B,2025-09-16 00:00:00,Sep-2025,Preventive Action,Immediate deep clean conducted; re-swab showed satisfactory result,Training refresher scheduled for all shifts; competency re-assessment within 30 days,Karthik V.,2025-09-30 00:00:00,2025-09-30 00:00:00,14,14,Yes,Effective,Ramesh K.,Closed
CAPA-0159,DEV-0174,BCH-2022-0307,Roasted Corn,Line A,2023-05-25 00:00:00,May-2023,Process Improvement,BMR template revised; mandatory dual-sign-off added for critical entries,HACCP plan reviewed; critical limit tightened by 10%; new alert limit introduced,Meena R.,2023-06-08 00:00:00,2023-06-05 00:00:00,11,14,Yes,Partially Effective,Priya S.,Closed
