Dev_ID,Batch_ID,Product,Production_Line,Deviation_Date,Month_Year,Quarter,Dev_Type,Parameter_Affected,Root_Cause_Category,Root_Cause_Description,Severity,Detected_By,Status,CAPA_Raised
DEV-0116,BCH-2024-1184,Tapioca Crisps,Line B,2027-05-24 00:00:00,May-2027,Q2-2027,Process Deviation,Moisture%,Human Error,BMR entry not completed contemporaneously,Major,Internal Auditor,Closed — Effective,Yes
DEV-0117,BCH-2022-0372,Chickpea Snacks,Line F,2023-08-23 00:00:00,Aug-2023,Q3-2023,Equipment Malfunction,Purity%,Environmental Control Failure,Cold storage compressor failure — temp excursion,Critical,Automated Alarm,Closed — Effective,Yes
DEV-0118,BCH-2022-0064,Tapioca Crisps,Line D,2022-04-23 00:00:00,Apr-2022,Q2-2022,Environmental Excursion,Coliform,Supplier Non-conformance,Incorrect labelling on raw material bags,Major,External Audit,CAPA Raised,Yes
DEV-0119,BCH-2023-0808,Tapioca Crisps,Line D,2025-08-31 00:00:00,Aug-2025,Q3-2025,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Equipment MTTR exceeded SLA — production delay,Minor,Customer Complaint,Closed — Effective,No
DEV-0120,BCH-2024-1224,Tapioca Crisps,Line F,2027-07-27 00:00:00,Jul-2027,Q3-2027,Packaging Defect,Packaging Seal,Training Gap,Training records incomplete for promoted QC officer,Major,Environmental Swab,CAPA Raised,Yes
DEV-0121,BCH-2022-0340,Chickpea Snacks,Line D,2023-07-16 00:00:00,Jul-2023,Q3-2023,Microbial OOS,TPC,Raw Material Issue,Incoming RM lot TPC exceeded baseline by 2x,Minor,QC Analyst,Closed — Effective,No
DEV-0122,BCH-2023-0554,Okra Chips,Line B,2024-06-01 00:00:00,May-2024,Q2-2024,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Blanching time reduced due to PLC timing error,Minor,QC Supervisor,Closed — Effective,No
DEV-0123,BCH-2023-0678,Sweet Potato Chips,Line F,2025-01-24 00:00:00,Jan-2025,Q1-2025,Documentation Error,pH,Equipment Failure,Autoclave pressure sensor malfunction,Major,Production Operator,Closed — Pending Verification,Yes
DEV-0124,BCH-2022-0328,Tapioca Crisps,Line D,2023-06-26 00:00:00,Jun-2023,Q2-2023,Process Deviation,Moisture%,Human Error,Test skipped — analyst assumed pass from previous batch,Critical,Internal Auditor,Closed — Effective,Yes
DEV-0125,BCH-2024-1047,Masala Peanuts,Line C,2026-09-21 00:00:00,Sep-2026,Q3-2026,Equipment Malfunction,Purity%,Environmental Control Failure,Pest ingress — production line suspended,Major,Automated Alarm,CAPA Raised,Yes
DEV-0126,BCH-2023-0797,Banana Chips,Line E,2025-08-05 00:00:00,Aug-2025,Q3-2025,Environmental Excursion,Coliform,Supplier Non-conformance,Supplier CoA values inconsistent with in-house test,Minor,External Audit,CAPA Raised,No
DEV-0127,BCH-2024-1177,Jackfruit Chips,Line A,2027-05-13 00:00:00,May-2027,Q2-2027,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Calibration certificate expired — instrument quarantined,Minor,Customer Complaint,Closed — Effective,Yes
DEV-0128,BCH-2022-0409,Jackfruit Chips,Line A,2023-10-20 00:00:00,Oct-2023,Q4-2023,Packaging Defect,Packaging Seal,Training Gap,Operator unaware of updated critical limit,Major,Environmental Swab,CAPA Raised,Yes
DEV-0129,BCH-2023-0460,Chickpea Snacks,Line D,2024-01-10 00:00:00,Jan-2024,Q1-2024,Microbial OOS,TPC,Raw Material Issue,RM purity below specification — supplier fault,Major,QC Analyst,CAPA Raised,Yes
DEV-0130,BCH-2024-1103,Masala Peanuts,Line E,2027-01-08 00:00:00,Jan-2027,Q1-2027,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Conveyor speed inconsistency caused uneven frying,Minor,QC Supervisor,Closed — Effective,No
DEV-0131,BCH-2022-0272,Tapioca Crisps,Line B,2023-03-24 00:00:00,Mar-2023,Q1-2023,Documentation Error,pH,Equipment Failure,pH meter calibration drift — monthly check,Major,Production Operator,Closed — Effective,Yes
DEV-0132,BCH-2023-0600,Tapioca Crisps,Line F,2024-09-02 00:00:00,Sep-2024,Q3-2024,Process Deviation,Moisture%,Human Error,Analyst used expired reagent for TPC,Major,Internal Auditor,Closed — Effective,Yes
DEV-0133,BCH-2022-0123,Roasted Corn,Line C,2022-07-16 00:00:00,Jul-2022,Q3-2022,Equipment Malfunction,Purity%,Environmental Control Failure,Poor sanitation — environmental swab positive,Major,Automated Alarm,CAPA Raised,Yes
DEV-0134,BCH-2024-0861,Banana Chips,Line C,2025-11-25 00:00:00,Nov-2025,Q4-2025,Environmental Excursion,Coliform,Supplier Non-conformance,Supplier changed manufacturing site without notification,Critical,External Audit,Closed — Effective,Yes
DEV-0135,BCH-2022-0318,Sweet Potato Chips,Line F,2023-06-11 00:00:00,Jun-2023,Q2-2023,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Filter replacement overdue — micro contamination risk,Critical,Customer Complaint,Closed — Effective,Yes
DEV-0136,BCH-2024-1165,Banana Chips,Line A,2027-04-27 00:00:00,Apr-2027,Q2-2027,Packaging Defect,Packaging Seal,Training Gap,New analyst performed test without adequate supervision,Major,Environmental Swab,Closed — Pending Verification,Yes
DEV-0137,BCH-2023-0622,Sweet Potato Chips,Line D,2024-10-11 00:00:00,Oct-2024,Q4-2024,Microbial OOS,TPC,Raw Material Issue,Moisture in raw ingredients elevated at goods-in,Minor,QC Analyst,CAPA Raised,Yes
DEV-0138,BCH-2024-1095,Masala Peanuts,Line C,2026-12-24 00:00:00,Dec-2026,Q4-2026,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Process water pH not adjusted pre-use,Minor,QC Supervisor,Closed — Pending Verification,Yes
DEV-0139,BCH-2022-0163,Roasted Corn,Line A,2022-09-17 00:00:00,Sep-2022,Q3-2022,Documentation Error,pH,Equipment Failure,Conveyor belt slippage — unplanned downtime,Major,Production Operator,CAPA Raised,Yes
DEV-0140,BCH-2024-1014,Sweet Potato Chips,Line F,2026-07-20 00:00:00,Jul-2026,Q3-2026,Process Deviation,Moisture%,Human Error,Wrong product code entered in LIMS,Major,Internal Auditor,Closed — Effective,Yes
DEV-0141,BCH-2022-0213,Banana Chips,Line C,2022-12-19 00:00:00,Dec-2022,Q4-2022,Equipment Malfunction,Purity%,Environmental Control Failure,AHU malfunction — ambient temp excursion,Critical,Automated Alarm,Closed — Effective,Yes
DEV-0142,BCH-2022-0016,Tapioca Crisps,Line D,2022-01-30 00:00:00,Jan-2022,Q1-2022,Environmental Excursion,Coliform,Supplier Non-conformance,Packaging material lot with sub-spec barrier properties,Critical,External Audit,Closed — Effective,Yes
DEV-0143,BCH-2023-0772,Chickpea Snacks,Line D,2025-06-20 00:00:00,Jun-2025,Q2-2025,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Preventive maintenance skipped during peak production,Major,Customer Complaint,Closed — Pending Verification,Yes
DEV-0144,BCH-2024-1105,Jackfruit Chips,Line A,2027-01-14 00:00:00,Jan-2027,Q1-2027,Packaging Defect,Packaging Seal,Training Gap,Incorrect interpretation of borderline result,Critical,Environmental Swab,Closed — Effective,Yes
DEV-0145,BCH-2022-0222,Sweet Potato Chips,Line F,2022-12-28 00:00:00,Dec-2022,Q4-2022,Microbial OOS,TPC,Raw Material Issue,Contaminated raw material lot passed incoming QC,Major,QC Analyst,Closed — Effective,Yes
DEV-0146,BCH-2024-1059,Roasted Corn,Line C,2026-10-15 00:00:00,Oct-2026,Q4-2026,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Frying temp dropped below spec during shift changeover,Major,QC Supervisor,Closed — Pending Verification,Yes
DEV-0147,BCH-2022-0368,Tapioca Crisps,Line B,2023-08-19 00:00:00,Aug-2023,Q3-2023,Documentation Error,pH,Equipment Failure,Moisture analyser heating element degraded,Critical,Production Operator,Closed — Effective,Yes
DEV-0148,BCH-2022-0015,Masala Peanuts,Line C,2022-01-29 00:00:00,Jan-2022,Q1-2022,Process Deviation,Moisture%,Human Error,Incorrect sample size for physicochemical test,Major,Internal Auditor,Closed — Effective,Yes
DEV-0149,BCH-2023-0508,Chickpea Snacks,Line D,2024-03-24 00:00:00,Mar-2024,Q1-2024,Equipment Malfunction,Purity%,Environmental Control Failure,Condensation in packaging area,Major,Automated Alarm,Closed — Effective,Yes
DEV-0150,BCH-2024-1000,Tapioca Crisps,Line D,2026-06-30 00:00:00,Jun-2026,Q2-2026,Environmental Excursion,Coliform,Supplier Non-conformance,Batch recall from supplier due to cross-contamination,Major,External Audit,Closed — Pending Verification,Yes
DEV-0151,BCH-2022-0332,Chickpea Snacks,Line B,2023-07-01 00:00:00,Jun-2023,Q2-2023,Raw Material Non-conformance,Process Temp,Maintenance Lapse,PM overdue on critical pH instrument,Minor,Customer Complaint,Closed — Effective,Yes
DEV-0152,BCH-2023-0551,Masala Peanuts,Line E,2024-05-27 00:00:00,May-2024,Q2-2024,Packaging Defect,Packaging Seal,Training Gap,SOP revision not communicated to night shift,Major,Environmental Swab,Closed — Effective,Yes
DEV-0153,BCH-2023-0839,Masala Peanuts,Line E,2025-10-19 00:00:00,Oct-2025,Q4-2025,Microbial OOS,TPC,Raw Material Issue,Supplier batch YM count borderline on CoA,Major,QC Analyst,Closed — Effective,Yes
DEV-0154,BCH-2024-1046,Sweet Potato Chips,Line B,2026-09-20 00:00:00,Sep-2026,Q3-2026,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Oil temperature overshoot — thermostat drift,Major,QC Supervisor,Closed — Pending Verification,Yes
DEV-0155,BCH-2024-1222,Sweet Potato Chips,Line D,2027-07-25 00:00:00,Jul-2027,Q3-2027,Documentation Error,pH,Equipment Failure,Packaging seal integrity failure,Major,Production Operator,CAPA Raised,Yes
DEV-0156,BCH-2023-0673,Jackfruit Chips,Line A,2025-01-14 00:00:00,Jan-2025,Q1-2025,Process Deviation,Moisture%,Human Error,BMR entry not completed contemporaneously,Major,Internal Auditor,Closed — Effective,Yes
DEV-0157,BCH-2022-0325,Banana Chips,Line A,2023-06-21 00:00:00,Jun-2023,Q2-2023,Equipment Malfunction,Purity%,Environmental Control Failure,Cold storage compressor failure — temp excursion,Critical,Automated Alarm,Closed — Effective,Yes
DEV-0158,BCH-2023-0520,Tapioca Crisps,Line D,2024-04-17 00:00:00,Apr-2024,Q2-2024,Environmental Excursion,Coliform,Supplier Non-conformance,Incorrect labelling on raw material bags,Minor,External Audit,CAPA Raised,Yes
DEV-0159,BCH-2023-0714,Okra Chips,Line F,2025-03-24 00:00:00,Mar-2025,Q1-2025,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Equipment MTTR exceeded SLA — production delay,Major,Customer Complaint,Closed — Effective,Yes
DEV-0160,BCH-2024-1038,Sweet Potato Chips,Line F,2026-09-10 00:00:00,Sep-2026,Q3-2026,Packaging Defect,Packaging Seal,Training Gap,Training records incomplete for promoted QC officer,Major,Environmental Swab,Closed — Effective,Yes
DEV-0161,BCH-2024-0989,Banana Chips,Line E,2026-06-10 00:00:00,Jun-2026,Q2-2026,Microbial OOS,TPC,Raw Material Issue,Incoming RM lot TPC exceeded baseline by 2x,Critical,QC Analyst,Closed — Effective,Yes
DEV-0162,BCH-2024-1102,Sweet Potato Chips,Line D,2027-01-07 00:00:00,Jan-2027,Q1-2027,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Blanching time reduced due to PLC timing error,Major,QC Supervisor,Closed — Effective,Yes
DEV-0163,BCH-2022-0228,Chickpea Snacks,Line F,2023-01-15 00:00:00,Jan-2023,Q1-2023,Documentation Error,pH,Equipment Failure,Autoclave pressure sensor malfunction,Minor,Production Operator,CAPA Raised,Yes
DEV-0164,BCH-2023-0700,Chickpea Snacks,Line D,2025-02-20 00:00:00,Feb-2025,Q1-2025,Process Deviation,Moisture%,Human Error,Test skipped — analyst assumed pass from previous batch,Minor,Internal Auditor,Closed — Pending Verification,Yes
DEV-0165,BCH-2023-0458,Okra Chips,Line B,2024-01-08 00:00:00,Jan-2024,Q1-2024,Equipment Malfunction,Purity%,Environmental Control Failure,Pest ingress — production line suspended,Minor,Automated Alarm,Closed — Effective,No
DEV-0166,BCH-2023-0512,Tapioca Crisps,Line B,2024-04-05 00:00:00,Apr-2024,Q2-2024,Environmental Excursion,Coliform,Supplier Non-conformance,Supplier CoA values inconsistent with in-house test,Minor,External Audit,Closed — Effective,Yes
DEV-0167,BCH-2024-0847,Masala Peanuts,Line A,2025-11-03 00:00:00,Nov-2025,Q4-2025,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Calibration certificate expired — instrument quarantined,Major,Customer Complaint,Closed — Effective,Yes
DEV-0168,BCH-2022-0181,Banana Chips,Line A,2022-10-21 00:00:00,Oct-2022,Q4-2022,Packaging Defect,Packaging Seal,Training Gap,Operator unaware of updated critical limit,Critical,Environmental Swab,Closed — Effective,Yes
DEV-0169,BCH-2024-1228,Chickpea Snacks,Line D,2027-08-02 00:00:00,Aug-2027,Q3-2027,Microbial OOS,TPC,Raw Material Issue,RM purity below specification — supplier fault,Critical,QC Analyst,Closed — Effective,Yes
DEV-0170,BCH-2024-1081,Jackfruit Chips,Line A,2026-11-29 00:00:00,Nov-2026,Q4-2026,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Conveyor speed inconsistency caused uneven frying,Major,QC Supervisor,Closed — Effective,Yes
DEV-0171,BCH-2024-1097,Jackfruit Chips,Line E,2026-12-26 00:00:00,Dec-2026,Q4-2026,Documentation Error,pH,Equipment Failure,pH meter calibration drift — monthly check,Minor,Production Operator,Closed — Effective,Yes
DEV-0172,BCH-2024-0887,Masala Peanuts,Line E,2026-01-02 00:00:00,Jan-2026,Q1-2026,Process Deviation,Moisture%,Human Error,Analyst used expired reagent for TPC,Minor,Internal Auditor,Closed — Pending Verification,Yes
DEV-0173,BCH-2023-0818,Okra Chips,Line B,2025-09-15 00:00:00,Sep-2025,Q3-2025,Equipment Malfunction,Purity%,Environmental Control Failure,Poor sanitation — environmental swab positive,Major,Automated Alarm,Closed — Effective,Yes
DEV-0174,BCH-2022-0307,Roasted Corn,Line A,2023-05-24 00:00:00,May-2023,Q2-2023,Environmental Excursion,Coliform,Supplier Non-conformance,Supplier changed manufacturing site without notification,Major,External Audit,Closed — Pending Verification,Yes
DEV-0175,BCH-2022-0209,Jackfruit Chips,Line E,2022-12-07 00:00:00,Dec-2022,Q4-2022,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Filter replacement overdue — micro contamination risk,Major,Customer Complaint,Closed — Pending Verification,Yes
DEV-0176,BCH-2022-0180,Chickpea Snacks,Line F,2022-10-18 00:00:00,Oct-2022,Q4-2022,Packaging Defect,Packaging Seal,Training Gap,New analyst performed test without adequate supervision,Major,Environmental Swab,Closed — Pending Verification,Yes
DEV-0177,BCH-2023-0576,Tapioca Crisps,Line F,2024-07-18 00:00:00,Jul-2024,Q3-2024,Microbial OOS,TPC,Raw Material Issue,Moisture in raw ingredients elevated at goods-in,Major,QC Analyst,Closed — Effective,Yes
DEV-0178,BCH-2023-0562,Okra Chips,Line D,2024-06-11 00:00:00,Jun-2024,Q2-2024,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Process water pH not adjusted pre-use,Major,QC Supervisor,CAPA Raised,Yes
DEV-0179,BCH-2022-0358,Sweet Potato Chips,Line D,2023-08-08 00:00:00,Aug-2023,Q3-2023,Documentation Error,pH,Equipment Failure,Conveyor belt slippage — unplanned downtime,Major,Production Operator,Closed — Pending Verification,Yes
DEV-0180,BCH-2024-0961,Jackfruit Chips,Line A,2026-04-30 00:00:00,Apr-2026,Q2-2026,Process Deviation,Moisture%,Human Error,Wrong product code entered in LIMS,Major,Internal Auditor,CAPA Raised,Yes
DEV-0181,BCH-2024-1193,Jackfruit Chips,Line E,2027-06-13 00:00:00,Jun-2027,Q2-2027,Equipment Malfunction,Purity%,Environmental Control Failure,AHU malfunction — ambient temp excursion,Critical,Automated Alarm,Closed — Effective,Yes
DEV-0182,BCH-2023-0539,Roasted Corn,Line E,2024-05-13 00:00:00,May-2024,Q2-2024,Environmental Excursion,Coliform,Supplier Non-conformance,Packaging material lot with sub-spec barrier properties,Major,External Audit,Closed — Effective,Yes
DEV-0183,BCH-2023-0597,Banana Chips,Line C,2024-08-24 00:00:00,Aug-2024,Q3-2024,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Preventive maintenance skipped during peak production,Major,Customer Complaint,Closed — Pending Verification,Yes
DEV-0184,BCH-2022-0196,Chickpea Snacks,Line D,2022-11-17 00:00:00,Nov-2022,Q4-2022,Packaging Defect,Packaging Seal,Training Gap,Incorrect interpretation of borderline result,Major,Environmental Swab,CAPA Raised,Yes
DEV-0185,BCH-2022-0235,Roasted Corn,Line A,2023-01-24 00:00:00,Jan-2023,Q1-2023,Microbial OOS,TPC,Raw Material Issue,Contaminated raw material lot passed incoming QC,Major,QC Analyst,CAPA Raised,Yes
DEV-0186,BCH-2024-1179,Roasted Corn,Line C,2027-05-17 00:00:00,May-2027,Q2-2027,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Frying temp dropped below spec during shift changeover,Major,QC Supervisor,Closed — Effective,Yes
DEV-0187,BCH-2023-0675,Roasted Corn,Line C,2025-01-20 00:00:00,Jan-2025,Q1-2025,Documentation Error,pH,Equipment Failure,Moisture analyser heating element degraded,Major,Production Operator,CAPA Raised,Yes
DEV-0188,BCH-2023-0779,Roasted Corn,Line E,2025-07-10 00:00:00,Jul-2025,Q3-2025,Process Deviation,Moisture%,Human Error,Incorrect sample size for physicochemical test,Minor,Internal Auditor,Open,Yes
DEV-0189,BCH-2024-1007,Masala Peanuts,Line E,2026-07-13 00:00:00,Jul-2026,Q3-2026,Equipment Malfunction,Purity%,Environmental Control Failure,Condensation in packaging area,Major,Automated Alarm,Closed — Effective,Yes
DEV-0190,BCH-2024-0985,Jackfruit Chips,Line A,2026-06-03 00:00:00,Jun-2026,Q2-2026,Environmental Excursion,Coliform,Supplier Non-conformance,Batch recall from supplier due to cross-contamination,Critical,External Audit,Closed — Effective,Yes
DEV-0191,BCH-2023-0658,Okra Chips,Line D,2024-12-17 00:00:00,Dec-2024,Q4-2024,Raw Material Non-conformance,Process Temp,Maintenance Lapse,PM overdue on critical pH instrument,Major,Customer Complaint,Closed — Effective,Yes
DEV-0192,BCH-2024-0921,Jackfruit Chips,Line C,2026-02-24 00:00:00,Feb-2026,Q1-2026,Packaging Defect,Packaging Seal,Training Gap,SOP revision not communicated to night shift,Critical,Environmental Swab,Closed — Effective,Yes
DEV-0193,BCH-2024-1173,Banana Chips,Line C,2027-05-08 00:00:00,May-2027,Q2-2027,Microbial OOS,TPC,Raw Material Issue,Supplier batch YM count borderline on CoA,Major,QC Analyst,CAPA Raised,Yes
DEV-0194,BCH-2022-0152,Tapioca Crisps,Line B,2022-09-03 00:00:00,Sep-2022,Q3-2022,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Oil temperature overshoot — thermostat drift,Major,QC Supervisor,CAPA Raised,Yes
DEV-0195,BCH-2022-0097,Jackfruit Chips,Line A,2022-06-03 00:00:00,Jun-2022,Q2-2022,Documentation Error,pH,Equipment Failure,Packaging seal integrity failure,Critical,Production Operator,Closed — Effective,Yes
DEV-0196,BCH-2023-0737,Jackfruit Chips,Line E,2025-04-24 00:00:00,Apr-2025,Q2-2025,Process Deviation,Moisture%,Human Error,BMR entry not completed contemporaneously,Critical,Internal Auditor,Closed — Effective,Yes
DEV-0197,BCH-2022-0001,Jackfruit Chips,Line A,2022-01-04 00:00:00,Jan-2022,Q1-2022,Equipment Malfunction,Purity%,Environmental Control Failure,Cold storage compressor failure — temp excursion,Major,Automated Alarm,CAPA Raised,Yes
DEV-0198,BCH-2024-0932,Chickpea Snacks,Line B,2026-03-09 00:00:00,Mar-2026,Q1-2026,Environmental Excursion,Coliform,Supplier Non-conformance,Incorrect labelling on raw material bags,Major,External Audit,Closed — Effective,Yes
DEV-0199,BCH-2022-0262,Sweet Potato Chips,Line D,2023-03-08 00:00:00,Mar-2023,Q1-2023,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Equipment MTTR exceeded SLA — production delay,Minor,Customer Complaint,Closed — Effective,Yes
DEV-0200,BCH-2024-1169,Jackfruit Chips,Line E,2027-05-04 00:00:00,May-2027,Q2-2027,Packaging Defect,Packaging Seal,Training Gap,Training records incomplete for promoted QC officer,Major,Environmental Swab,Closed — Effective,Yes
DEV-0201,BCH-2022-0413,Banana Chips,Line E,2023-10-28 00:00:00,Oct-2023,Q4-2023,Microbial OOS,TPC,Raw Material Issue,Incoming RM lot TPC exceeded baseline by 2x,Major,QC Analyst,Closed — Effective,Yes
DEV-0202,BCH-2022-0047,Masala Peanuts,Line E,2022-03-30 00:00:00,Mar-2022,Q1-2022,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Blanching time reduced due to PLC timing error,Major,QC Supervisor,Closed — Effective,Yes
DEV-0203,BCH-2024-1086,Sweet Potato Chips,Line F,2026-12-04 00:00:00,Dec-2026,Q4-2026,Documentation Error,pH,Equipment Failure,Autoclave pressure sensor malfunction,Major,Production Operator,Closed — Pending Verification,Yes
DEV-0204,BCH-2024-1079,Masala Peanuts,Line E,2026-11-25 00:00:00,Nov-2026,Q4-2026,Process Deviation,Moisture%,Human Error,Test skipped — analyst assumed pass from previous batch,Major,Internal Auditor,Closed — Effective,Yes
DEV-0205,BCH-2024-0939,Roasted Corn,Line C,2026-03-24 00:00:00,Mar-2026,Q1-2026,Equipment Malfunction,Purity%,Environmental Control Failure,Pest ingress — production line suspended,Major,Automated Alarm,Closed — Effective,Yes
DEV-0206,BCH-2023-0555,Roasted Corn,Line C,2024-06-02 00:00:00,Jun-2024,Q2-2024,Environmental Excursion,Coliform,Supplier Non-conformance,Supplier CoA values inconsistent with in-house test,Major,External Audit,Closed — Effective,Yes
DEV-0207,BCH-2024-1003,Roasted Corn,Line A,2026-07-05 00:00:00,Jul-2026,Q3-2026,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Calibration certificate expired — instrument quarantined,Major,Customer Complaint,Closed — Effective,Yes
DEV-0208,BCH-2023-0567,Masala Peanuts,Line C,2024-06-20 00:00:00,Jun-2024,Q2-2024,Packaging Defect,Packaging Seal,Training Gap,Operator unaware of updated critical limit,Minor,Environmental Swab,CAPA Raised,No
DEV-0209,BCH-2024-0920,Tapioca Crisps,Line B,2026-02-23 00:00:00,Feb-2026,Q1-2026,Microbial OOS,TPC,Raw Material Issue,RM purity below specification — supplier fault,Major,QC Analyst,Closed — Effective,Yes
DEV-0210,BCH-2023-0446,Sweet Potato Chips,Line B,2023-12-19 00:00:00,Dec-2023,Q4-2023,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Conveyor speed inconsistency caused uneven frying,Major,QC Supervisor,Closed — Effective,Yes
DEV-0211,BCH-2022-0086,Sweet Potato Chips,Line B,2022-05-19 00:00:00,May-2022,Q2-2022,Documentation Error,pH,Equipment Failure,pH meter calibration drift — monthly check,Critical,Production Operator,Closed — Effective,Yes
DEV-0212,BCH-2024-0856,Tapioca Crisps,Line D,2025-11-18 00:00:00,Nov-2025,Q4-2025,Process Deviation,Moisture%,Human Error,Analyst used expired reagent for TPC,Major,Internal Auditor,CAPA Raised,Yes
DEV-0213,BCH-2024-0902,Sweet Potato Chips,Line B,2026-01-24 00:00:00,Jan-2026,Q1-2026,Equipment Malfunction,Purity%,Environmental Control Failure,Poor sanitation — environmental swab positive,Critical,Automated Alarm,Closed — Effective,Yes
DEV-0214,BCH-2024-0893,Banana Chips,Line E,2026-01-09 00:00:00,Jan-2026,Q1-2026,Environmental Excursion,Coliform,Supplier Non-conformance,Supplier changed manufacturing site without notification,Major,External Audit,Closed — Effective,Yes
DEV-0215,BCH-2024-0904,Tapioca Crisps,Line D,2026-01-27 00:00:00,Jan-2026,Q1-2026,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Filter replacement overdue — micro contamination risk,Major,Customer Complaint,Closed — Effective,Yes
DEV-0216,BCH-2024-0988,Chickpea Snacks,Line D,2026-06-07 00:00:00,Jun-2026,Q2-2026,Packaging Defect,Packaging Seal,Training Gap,New analyst performed test without adequate supervision,Major,Environmental Swab,Closed — Effective,Yes
DEV-0217,BCH-2022-0277,Banana Chips,Line A,2023-03-31 00:00:00,Mar-2023,Q1-2023,Microbial OOS,TPC,Raw Material Issue,Moisture in raw ingredients elevated at goods-in,Critical,QC Analyst,Closed — Effective,Yes
DEV-0218,BCH-2023-0761,Jackfruit Chips,Line E,2025-06-03 00:00:00,Jun-2025,Q2-2025,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Process water pH not adjusted pre-use,Major,QC Supervisor,Closed — Pending Verification,Yes
DEV-0219,BCH-2023-0603,Roasted Corn,Line C,2024-09-10 00:00:00,Sep-2024,Q3-2024,Documentation Error,pH,Equipment Failure,Conveyor belt slippage — unplanned downtime,Minor,Production Operator,Closed — Pending Verification,No
DEV-0220,BCH-2024-0974,Sweet Potato Chips,Line B,2026-05-21 00:00:00,May-2026,Q2-2026,Process Deviation,Moisture%,Human Error,Wrong product code entered in LIMS,Major,Internal Auditor,Closed — Pending Verification,Yes
DEV-0221,BCH-2022-0387,Roasted Corn,Line C,2023-09-21 00:00:00,Sep-2023,Q3-2023,Equipment Malfunction,Purity%,Environmental Control Failure,AHU malfunction — ambient temp excursion,Minor,Automated Alarm,Closed — Pending Verification,Yes
DEV-0222,BCH-2022-0287,Masala Peanuts,Line E,2023-04-29 00:00:00,Apr-2023,Q2-2023,Environmental Excursion,Coliform,Supplier Non-conformance,Packaging material lot with sub-spec barrier properties,Minor,External Audit,Under Investigation,No
DEV-0223,BCH-2023-0759,Masala Peanuts,Line C,2025-06-01 00:00:00,May-2025,Q2-2025,Raw Material Non-conformance,Process Temp,Maintenance Lapse,Preventive maintenance skipped during peak production,Minor,Customer Complaint,Under Investigation,No
DEV-0224,BCH-2023-0827,Roasted Corn,Line E,2025-09-25 00:00:00,Sep-2025,Q3-2025,Packaging Defect,Packaging Seal,Training Gap,Incorrect interpretation of borderline result,Major,Environmental Swab,Closed — Effective,Yes
DEV-0225,BCH-2024-1181,Banana Chips,Line E,2027-05-19 00:00:00,May-2027,Q2-2027,Microbial OOS,TPC,Raw Material Issue,Contaminated raw material lot passed incoming QC,Minor,QC Analyst,CAPA Raised,Yes
DEV-0226,BCH-2022-0400,Tapioca Crisps,Line D,2023-10-08 00:00:00,Oct-2023,Q4-2023,Physicochemical OOS,Yeast & Mold,Process Parameter Deviation,Frying temp dropped below spec during shift changeover,Major,QC Supervisor,Closed — Pending Verification,Yes
DEV-0227,BCH-2024-0922,Okra Chips,Line D,2026-02-25 00:00:00,Feb-2026,Q1-2026,Documentation Error,pH,Equipment Failure,Moisture analyser heating element degraded,Major,Production Operator,CAPA Raised,Yes
DEV-0228,BCH-2023-0760,Tapioca Crisps,Line D,2025-06-02 00:00:00,Jun-2025,Q2-2025,Process Deviation,Moisture%,Human Error,Incorrect sample size for physicochemical test,Major,Internal Auditor,CAPA Raised,Yes
DEV-0229,BCH-2022-0183,Masala Peanuts,Line C,2022-10-24 00:00:00,Oct-2022,Q4-2022,Equipment Malfunction,Purity%,Environmental Control Failure,Condensation in packaging area,Major,Automated Alarm,CAPA Raised,Yes
DEV-0230,BCH-2024-1152,Tapioca Crisps,Line F,2027-03-29 00:00:00,Mar-2027,Q1-2027,Environmental Excursion,Coliform,Supplier Non-conformance,Batch recall from supplier due to cross-contamination,Major,External Audit,Closed — Effective,Yes
DEV-0231,BCH-2024-1219,Roasted Corn,Line A,2027-07-20 00:00:00,Jul-2027,Q3-2027,Raw Material Non-conformance,Process Temp,Maintenance Lapse,PM overdue on critical pH instrument,Major,Customer Complaint,Closed — Pending Verification,Yes
